耀,羽
蘄,艹
涉,氵
谈,讠
伊,亻
預,页
亟,二
洞,氵
咣,口
猢,犭
媧,女
礦,石
悫,心
缪,纟
河,氵
临,丨
犷,犭
鄶,阝
吸,口
碻,石
娼,女
线,纟
晄,日
談,讠
反,又
牌,片
雏,隹
姑,女
硐,石
鳓,鱼
織,纟
遠,辶
卢,卜
知,矢
除,阝
緩,纟
彪,彡
觱,角
歲,山
闹,门
壻,女
鯽,鱼
廿,廾
覆,覀
辊,车
劌,刂
閎,门
鮒,鱼
应,广
蠛,虫
檜,木
踟,足
儡,亻
皤,白
崩,山
芬,艹
冶,冫
钸,钅
骼,骨
赉,贝
鍍,钅
饑,饣
臖,月
湟,氵
跞,足
瑣,王
鏢,钅
囤,囗
峨,山
括,扌
虯,虫
棰,木
豳,豕
併,干
滴,氵
须,页
孽,子
鹿,鹿
沉,氵
贈,贝
上,一
犍,牜
后,口
碑,石
餐,飠
怖,忄
蒙,艹
邡,阝
砦,石
鲩,鱼
憫,忄
枯,木
萮,艹
伴,亻
玷,王
逶,辶
离,忄
羿,羽
鰾,鱼
浈,氵
釋,采
壑,土
祐,礻
鷓,鸟
罔,网
蕘,艹
櫝,木
譜,讠
盥,皿
裱,衤
号,口
灶,火
铹,钅
姻,女
忿,心
节,艹
躊,足
厌,厂
钎,钅
妐,女
紓,纟
骒,马
茗,艹
輟,车
倡,亻
熠,火
锣,钅
瞤,目
鬧,门
傶,亻
琹,王
稽,禾
拂,扌
豉,豆
克,十
鉍,钅
坏,土
鹕,鸟
胖,月
賞,贝
几,几
埤,土
筧,竹
巨,工
腫,月
黪,黑
蝯,犭
赳,走
篼,竹
齿,齿
舀,臼
萄,艹
澉,氵
騐,马
挖,扌
嚣,口
閥,门
符,竹
披,扌
蜮,虫
褲,衤
炷,火
窻,穴
锺,钅
鼾,鼻
所,户
蛃,虫
摄,扌
鋋,釒
凍,冫
灌,氵
穐,禾
柙,木
佞,亻
兢,儿
鑤,刂
学,子
翩,羽
鹨,鸟
臭,自
诱,讠
仳,亻
践,足
嫻,女
畺,田
罾,罒
昃,日
膂,月
标,木
予,亅
越,走
傌,亻
琏,王
馒,饣
岔,山
耗,耒
暘,日
訛,讠
谟,讠
匡,匚
弩,弓
纨,纟
肬,疒
誰,讠
洵,氵
貴,贝
厶,厶
隸,隶
礽,礻
颼,风
懂,忄
毆,殳
轉,车
剋,十
配,酉
魑,鬼
秒,禾
鵕,鳥
菖,艹
橛,木
江,氵
连,辶
癣,疒
廨,广
艫,舟
鷪,艹
惬,忄
遷,辶
相,目
驻,马
好,女
鱿,鱼
撅,扌
蔄,艹
溉,氵
嘎,口
窑,穴
鬐,髟
粕,米
或,戈
垣,土
钥,钅
麩,麦
簪,竹
斯,斤
澳,氵
蠲,虫
鐺,钅
夼,大
綿,纟
鸾,鸟
觇,见
仉,亻
煌,火
筐,竹
曙,日
襜,衤
乞,乙
狡,犭
偢,亻
镤,钅
婦,女
绩,纟
胭,月
普,日
諱,讠
俳,亻
雹,雨
寻,寸
飽,饣
繾,纟
會,人
椇,木
誆,讠
侈,亻
猋,犬
貊,豸
册,丿
甏,瓦
階,阝
缓,纟
嶔,山
枘,木
講,讠
榜,木
负,贝
吥,口
疤,疒
餧,口
樱,木
记,讠
趴,足
庾,广
葅,艹
蹉,足
卋,一
泊,氵
遍,辶
問,门
盎,皿
当,彐
歛,攵
叠,又
督,目
郢,阝
嗤,口
祧,礻
髦,髟
荫,艹
轳,车
酷,酉
矸,石
舄,臼
榉,木
瞍,目
阌,门
綑,扌
鰐,鱼
箕,竹
攖,扌
挚,手
傣,亻
眢,目
座,广
笪,竹
梳,木
皷,鼓
锶,钅
倸,目
帼,巾
窿,穴
餾,饣
摀,扌
胃,月
案,木
铋,钅
癌,疒
鋏,钅
飓,风
聘,耳
鑠,钅
坢,土
珥,王
鉤,钅
秩,禾
孪,子
慮,虍
潲,氵
诵,讠
當,彐
釹,钅
峻,山
獺,犭
怃,忄
螂,虫
變,又
嚌,口
岐,山
谛,讠
溜,氵
訟,讠
璠,王
連,辶
鸧,鸟
天,大
札,木
蚬,虫
洱,氵
欵,欠
邸,阝
妾,女
蕁,艹
乇,丿
淆,氵
呋,口
燎,火
鵑,鸟
習,乙
晗,日
汛,氵
機,木
觞,角
灣,氵
勤,力
鷦,鸟
葫,艹
鯪,鱼
曬,日
良,艮
泰,水
陷,阝
兹,丷
综,纟
驿,马
蔀,艹
茄,艹
粑,米
窕,穴
戚,戈
钡,钅
瘢,疒
銥,钅
徧,彳
簦,竹
斫,斤
耮,耒
綻,纟
鈺,钅
弼,弓
頾,髟
臃,月
捄,攵
过,辶
闋,门
結,纟
答,竹
腘,月
噢,口
鍤,钅
屦,尸
饨,饣
婪,女
蛭,虫
執,扌
瑶,王
牺,牜
黽,黾
寿,寸
蚂,虫
誊,言
垌,土
礓,石
麒,鹿
蜗,虫
贛,贝
丝,一
澜,氵
吡,口
疠,疒
鄣,阝
昭,日
螬,虫
亲,亠
樵,木
讴,讠
瀹,氵
總,心
墾,土
佇,亻
降,阝
协,十
鱑,魚
绒,纟
驕,马
蓖,艹
浛,氵
俜,亻
歟,欠
離,忄
古,口
姨,女
蕫,艹
柬,木
药,艹
幽,幺
翼,羽
魿,魚
极,木
耄,耂
殉,歹
計,讠
羑,羊
鸐,鳥
禕,礻
莙,艹
些,二
愚,心
劣,力
缦,纟
暫,日
礪,石
悯,忄
丰,丨
檳,木
贲,贝
券,刀
鄺,阝
尼,尸
鬾,鬼
資,贝
橈,木
嗍,口
郏,阝
忑,心
髓,骨
揙,扌
艘,舟
淝,氵
燥,火
彦,彡
篩,竹
奪,大
藭,艹
据,扌
觵,角
鏹,钅
煺,火
签,竹
氇,毛
辆,车
瘋,疒
和,口
瀏,氵
庐,广
折,扌
蠟,虫
鈣,钅
炤,灬
鰧,艹
窨,穴
蒬,艹
漱,氵
猹,犭
鲼,鱼
宾,宀
槊,木
镍,钅
偏,亻
珎,王
齑,齐
婓,女
緒,纟
饕,飠
湛,氵
臚,月
诞,讠
因,囗
虫,虫
聯,耳
詳,讠
鑷,钅
卹,忄
狸,犭
顿,页
暁,日
蜀,虫
檉,木
锌,钅
刎,刂
鼐,鼎
餔,飠
芙,艹
供,亻
貝,贝
樞,木
厣,厂
琢,王
嶧,山
枫,木
憯,忄
估,亻
殳,殳
谲,讠
阶,阝
騾,马
杀,木
韋,韦
响,口
界,田
量,里
廑,广
罐,缶
壕,土
拙,扌
泝,氵
赜,贝
靠,非
呢,口
酤,酉
魨,魚
扮,扌
汲,氵
裵,衣
嗷,口
鋹,釒
忻,忄
姿,女
蒂,艹
洇,氵
看,目
銎,金
徐,彳
鲒,鱼
蔗,艹
掘,扌
輛,车
瞠,目
倥,亻
娩,女
箨,竹
搭,扌
辰,辰
嚶,口
爹,父
鎸,钅
傺,亻
簽,竹
鶼,鸟
媾,女
擂,扌
狎,犭
鹑,鸟
孓,子
糒,米
敗,贝
潛,氵
胚,月
諞,讠
埠,土
铢,钅
凤,几
黦,黑
寨,宀
飪,饣
旬,日
腯,月
乱,乙
濰,氵
長,长
剹,戈
緼,纟
饿,饣
箍,竹
崎,山
逐,辶
阔,门
趙,走
漚,氵
莝,艹
岣,山
焦,灬
閩,门
梫,木
溯,氵
贮,贝
撳,扌
茲,艹
尸,尸
鼺,鼠
刼,力
皿,皿
锾,钅
桀,木
賃,贝
俅,亻
湄,氵
苇,艹
摈,扌
寍,宀
穌,禾
黏,黍
凑,冫
埕,土
癔,疒
淙,氵
佚,亻
孢,子
翥,羽
鹤,鸟
坪,土
语,讠
浮,氵
僻,亻
鏽,钅
囿,囗
鎒,耒
沘,氵
弥,弓
纤,纟
鈧,钅
璨,王
説,讠
朵,木
蚴,虫
紹,纟
鲸,鱼
銼,钅
喾,口
襁,衤
毂,殳
轅,车
懆,忄
蕉,艹
塋,艹
柊,木
魍,鬼
酑,酉
呓,口
觖,角
晟,日
壠,土
鯢,鱼
牧,牜
哨,口
衫,衤
韪,韦
櫬,木
蹯,足
惰,忄
葳,艹
更,曰
驷,马
糸,糸
狼,犭
陿,犭
梁,木
溅,氵
窍,穴
導,寸
划,刂
皕,白
栖,木
渚,氵
芝,艹
搞,扌
颡,页
钩,钅
榫,木
瘪,疒
谮,讠
鸺,鸟
瞿,目
鐾,金
跃,足
仅,亻
潄,氵
菇,艹
效,攵
筌,竹
僑,亻
赘,贝
荜,艹
婢,女
绥,纟
镨,钅
噪,口
諭,讠
俯,亻
胱,月
硶,石
击,凵
瑾,王
侄,亻
指,扌
肆,聿
蚊,虫
完,宀
缏,纟
鲎,鱼
冐,冂
謗,讠
脛,月
堡,土
鴣,鸟
帥,巾
群,羊
吩,口
怱,勹
昵,日
爽,爻
櫂,木
蹅,足
惆,忄
葉,口
奋,大
驍,马
遑,辶
啓,口
狒,犭
陕,阝
束,木
絣,糹
忤,忄
獧,犭
郦,阝
嗨,口
雪,雨
软,车
柴,木
魷,鱼
屹,山
剽,刂
殁,歹
言,言
